code,name,name_kana,name_romaji
43101,熊本市中央区,クマモトシチュウオウク,KUMAMOTO SHI CHUO KU
43102,熊本市東区,クマモトシヒガシク,KUMAMOTO SHI HIGASHI KU
43103,熊本市西区,クマモトシニシク,KUMAMOTO SHI NISHI KU
43104,熊本市南区,クマモトシミナミク,KUMAMOTO SHI MINAMI KU
43105,熊本市北区,クマモトシキタク,KUMAMOTO SHI KITA KU
43202,八代市,ヤツシロシ,YATSUSHIRO SHI
43203,人吉市,ヒトヨシシ,HITOYOSHI SHI
43204,荒尾市,アラオシ,ARAO SHI
43205,水俣市,ミナマタシ,MINAMATA SHI
43206,玉名市,タマナシ,TAMANA SHI
43208,山鹿市,ヤマガシ,YAMAGA SHI
43210,菊池市,キクチシ,KIKUCHI SHI
43211,宇土市,ウトシ,UTO SHI
43212,上天草市,カミアマクサシ,KAMIAMAKUSA SHI
43213,宇城市,ウキシ,UKI SHI
43214,阿蘇市,アソシ,ASO SHI
43215,天草市,アマクサシ,AMAKUSA SHI
43216,合志市,コウシシ,KOSHI SHI
43348,下益城郡美里町,シモマシキグンミサトマチ,SHIMOMASHIKI GUN MISATO MACHI
43364,玉名郡玉東町,タマナグンギョクトウマチ,TAMANA GUN GYOKUTO MACHI
43367,玉名郡南関町,タマナグンナンカンマチ,TAMANA GUN NANKAN MACHI
43368,玉名郡長洲町,タマナグンナガスマチ,TAMANA GUN NAGASU MACHI
43369,玉名郡和水町,タマナグンナゴミマチ,TAMANA GUN NAGOMI MACHI
43403,菊池郡大津町,キクチグンオオヅマチ,KIKUCHI GUN OZU MACHI
43404,菊池郡菊陽町,キクチグンキクヨウマチ,KIKUCHI GUN KIKUYO MACHI
43423,阿蘇郡南小国町,アソグンミナミオグニマチ,ASO GUN MINAMIOGUNI MACHI
43424,阿蘇郡小国町,アソグンオグニマチ,ASO GUN OGUNI MACHI
43425,阿蘇郡産山村,アソグンウブヤマムラ,ASO GUN UBUYAMA MURA
43428,阿蘇郡高森町,アソグンタカモリマチ,ASO GUN TAKAMORI MACHI
43432,阿蘇郡西原村,アソグンニシハラムラ,ASO GUN NISHIHARA MURA
43433,阿蘇郡南阿蘇村,アソグンミナミアソムラ,ASO GUN MINAMIASO MURA
43441,上益城郡御船町,カミマシキグンミフネマチ,KAMIMASHIKI GUN MIFUNE MACHI
43442,上益城郡嘉島町,カミマシキグンカシママチ,KAMIMASHIKI GUN KASHIMA MACHI
43443,上益城郡益城町,カミマシキグンマシキマチ,KAMIMASHIKI GUN MASHIKI MACHI
43444,上益城郡甲佐町,カミマシキグンコウサマチ,KAMIMASHIKI GUN KOSA MACHI
43447,上益城郡山都町,カミマシキグンヤマトチョウ,KAMIMASHIKI GUN YAMATO CHO
43468,八代郡氷川町,ヤツシログンヒカワチョウ,YATSUSHIRO GUN HIKAWA CHO
43482,葦北郡芦北町,アシキタグンアシキタマチ,ASHIKITA GUN ASHIKITA MACHI
43484,葦北郡津奈木町,アシキタグンツナギマチ,ASHIKITA GUN TSUNAGI MACHI
43501,球磨郡錦町,クマグンニシキマチ,KUMA GUN NISHIKI MACHI
43505,球磨郡多良木町,クマグンタラギマチ,KUMA GUN TARAGI MACHI
43507,球磨郡水上村,クマグンミズカミムラ,KUMA GUN MIZUKAMI MURA
43510,球磨郡相良村,クマグンサガラムラ,KUMA GUN SAGARA MURA
43511,球磨郡五木村,クマグンイツキムラ,KUMA GUN ITSUKI MURA
43512,球磨郡山江村,クマグンヤマエムラ,KUMA GUN YAMAE MURA
43513,球磨郡球磨村,クマグンクマムラ,KUMA GUN KUMA MURA
43514,球磨郡あさぎり町,クマグンアサギリチョウ,KUMA GUN ASAGIRI CHO
43531,天草郡苓北町,アマクサグンレイホクマチ,AMAKUSA GUN REIHOKU MACHI
